"Instituição","Instituição Dependente"
"BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.","BARI COMPANHIA HIPOTECÁRIA"
"BANCO BESA S.A.","BANCO BTG PACTUAL S.A."
"BANCO BESA S.A.","BANCO PAN S.A."
"BANCO BESA S.A.","BANCO SISTEMA S.A."
"BANCO BESA S.A.","PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"BANCO BMG S.A.","BANCO BMG S.A."
"BANCO BMG S.A.","BANCO CIFRA S.A."
"BANCO BMG S.A.","BCV - BANCO DE CRÉDITO E VAREJO S.A."
"BANCO BNP PARIBAS BRASIL S.A.","BANCO BNP PARIBAS BRASIL S.A."
"BANCO BOCOM BBM S.A.","BANCO BOCOM BBM S.A."
"BANCO BRADESCARD S.A.","BANCO BRADESCARD S.A."
"BANCO BRADESCARD S.A.","BANCO BRADESCO BBI S.A."
"BANCO BRADESCARD S.A.","BANCO BRADESCO BERJ S.A."
"BANCO BRADESCARD S.A.","BANCO BRADESCO FINANCIAMENTOS S.A."
"BANCO BRADESCARD S.A.","BANCO BRADESCO S.A."
"BANCO BRADESCARD S.A.","BANCO DIGIO S.A."
"BANCO BRADESCARD S.A.","BANCO LOSANGO S.A. - BANCO MÚLTIPLO"
"BANCO BRADESCARD S.A.","KIRTON BANK S.A. - BANCO MÚLTIPLO"
"BANCO BRADESCO BBI S.A.","BANCO BRADESCARD S.A."
"BANCO BRADESCO BBI S.A.","BANCO BRADESCO BBI S.A."
"BANCO BRADESCO BBI S.A.","BANCO BRADESCO BERJ S.A."
"BANCO BRADESCO BBI S.A.","BANCO BRADESCO FINANCIAMENTOS S.A."
"BANCO BRADESCO BBI S.A.","BANCO BRADESCO S.A."
"BANCO BRADESCO BBI S.A.","BANCO DIGIO S.A."
"BANCO BRADESCO BBI S.A.","BANCO LOSANGO S.A. - BANCO MÚLTIPLO"
"BANCO BRADESCO BBI S.A.","KIRTON BANK S.A. - BANCO MÚLTIPLO"
"BANCO BRADESCO BERJ S.A.","BANCO BRADESCARD S.A."
"BANCO BRADESCO BERJ S.A.","BANCO BRADESCO BBI S.A."
"BANCO BRADESCO BERJ S.A.","BANCO BRADESCO BERJ S.A."
"BANCO BRADESCO BERJ S.A.","BANCO BRADESCO FINANCIAMENTOS S.A."
"BANCO BRADESCO BERJ S.A.","BANCO BRADESCO S.A."
"BANCO BRADESCO BERJ S.A.","BANCO DIGIO S.A."
"BANCO BRADESCO BERJ S.A.","BANCO LOSANGO S.A. - BANCO MÚLTIPLO"
"BANCO BRADESCO BERJ S.A.","KIRTON BANK S.A. - BANCO MÚLTIPLO"
"BANCO BRADESCO FINANCIAMENTOS S.A.","BANCO BRADESCARD S.A."
"BANCO BRADESCO FINANCIAMENTOS S.A.","BANCO BRADESCO BBI S.A."
"BANCO BRADESCO FINANCIAMENTOS S.A.","BANCO BRADESCO BERJ S.A."
"BANCO BRADESCO FINANCIAMENTOS S.A.","BANCO BRADESCO FINANCIAMENTOS S.A."
"BANCO BRADESCO FINANCIAMENTOS S.A.","BANCO BRADESCO S.A."
"BANCO BRADESCO FINANCIAMENTOS S.A.","BANCO DIGIO S.A."
"BANCO BRADESCO FINANCIAMENTOS S.A.","BANCO LOSANGO S.A. - BANCO MÚLTIPLO"
"BANCO BRADESCO FINANCIAMENTOS S.A.","KIRTON BANK S.A. - BANCO MÚLTIPLO"
"BANCO BRADESCO S.A.","BANCO BRADESCARD S.A."
"BANCO BRADESCO S.A.","BANCO BRADESCO BBI S.A."
"BANCO BRADESCO S.A.","BANCO BRADESCO BERJ S.A."
"BANCO BRADESCO S.A.","BANCO BRADESCO FINANCIAMENTOS S.A."
"BANCO BRADESCO S.A.","BANCO BRADESCO S.A."
"BANCO BRADESCO S.A.","BANCO DIGIO S.A."
"BANCO BRADESCO S.A.","BANCO LOSANGO S.A. - BANCO MÚLTIPLO"
"BANCO BRADESCO S.A.","KIRTON BANK S.A. - BANCO MÚLTIPLO"
"BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA","BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA"
"BANCO BS2 S.A.","BANCO BS2 S.A."
"BANCO BTG PACTUAL S.A.","BANCO BTG PACTUAL S.A."
"BANCO BTG PACTUAL S.A.","BANCO PAN S.A."
"BANCO BTG PACTUAL S.A.","BANCO SISTEMA S.A."
"BANCO BTG PACTUAL S.A.","PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"BANCO BV S.A.","BANCO BV S.A."
"BANCO C6 CONSIGNADO S.A.","BANCO C6 CONSIGNADO S.A."
"BANCO C6 CONSIGNADO S.A.","BANCO C6 S.A."
"BANCO C6 S.A.","BANCO C6 CONSIGNADO S.A."
"BANCO C6 S.A.","BANCO C6 S.A."
"BANCO CAIXA GERAL - BRASIL S.A.","BANCO CAIXA GERAL - BRASIL S.A."
"BANCO CARGILL S.A.","BANCO CARGILL S.A."
"BANCO CATERPILLAR S.A.","BANCO CATERPILLAR S.A."
"BANCO CEDULA S.A.","BANCO CEDULA S.A."
"BANCO CIFRA S.A.","BANCO BMG S.A."
"BANCO CIFRA S.A.","BANCO CIFRA S.A."
"BANCO CIFRA S.A.","BCV - BANCO DE CRÉDITO E VAREJO S.A."
"BANCO CITIBANK S.A.","BANCO CITIBANK S.A."
"BANCO CITIBANK S.A.","CITIBANK N.A."
"BANCO CLASSICO S.A.","BANCO CLASSICO S.A."
"BANCO CNH INDUSTRIAL CAPITAL S.A.","BANCO CNH INDUSTRIAL CAPITAL S.A."
"BANCO CRÉDIT AGRICOLE BRASIL S.A.","BANCO CRÉDIT AGRICOLE BRASIL S.A."
"BANCO CREDIT SUISSE (BRASIL) S.A.","BANCO CREDIT SUISSE (BRASIL) S.A."
"BANCO CREDIT SUISSE (BRASIL) S.A.","BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A."
"BANCO CREFISA S.A.","BANCO CREFISA S.A."
"BANCO CREFISA S.A.","CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"BANCO CSF S.A.","BANCO CSF S.A."
"BANCO DA AMAZONIA S.A.","BANCO DA AMAZONIA S.A."
"BANCO DA CHINA BRASIL S.A.","BANCO DA CHINA BRASIL S.A."
"BANCO DAYCOVAL S.A.","BANCO DAYCOVAL S.A."
"BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG","BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG"
"BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.","BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A."
"BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.","BANCO CREDIT SUISSE (BRASIL) S.A."
"BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.","BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A."
"BANCO DE LA NACION ARGENTINA","BANCO DE LA NACION ARGENTINA"
"BANCO DE LA PROVINCIA DE BUENOS AIRES","BANCO DE LA PROVINCIA DE BUENOS AIRES"
"BANCO DE LAGE LANDEN BRASIL S.A.","BANCO DE LAGE LANDEN BRASIL S.A."
"BANCO DE RORAIMA S.A.","BANCO DE RORAIMA S.A."
"BANCO DIGIMAIS S.A.","BANCO DIGIMAIS S.A."
"BANCO DIGIO S.A.","BANCO BRADESCARD S.A."
"BANCO DIGIO S.A.","BANCO BRADESCO BBI S.A."
"BANCO DIGIO S.A.","BANCO BRADESCO BERJ S.A."
"BANCO DIGIO S.A.","BANCO BRADESCO FINANCIAMENTOS S.A."
"BANCO DIGIO S.A.","BANCO BRADESCO S.A."
"BANCO DIGIO S.A.","BANCO DIGIO S.A."
"BANCO DIGIO S.A.","BANCO LOSANGO S.A. - BANCO MÚLTIPLO"
"BANCO DIGIO S.A.","KIRTON BANK S.A. - BANCO MÚLTIPLO"
"BANCO DO BRASIL S.A.","BANCO DO BRASIL S.A."
"BANCO DO BRASIL S.A.","BB-BANCO DE INVESTIMENTO S/A"
"BANCO DO ESTADO DE SERGIPE S.A.","BANCO DO ESTADO DE SERGIPE S.A."
"BANCO DO ESTADO DO PARÁ S.A.","BANCO DO ESTADO DO PARÁ S.A."
"BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.","BANCO DO ESTADO DO RIO GRANDE DO SUL S.A."
"BANCO DO NORDESTE DO BRASIL S.A.","BANCO DO NORDESTE DO BRASIL S.A."
"BANCO FATOR S.A.","BANCO FATOR S.A."
"BANCO FIBRA S.A.","BANCO FIBRA S.A."
"BANCO FINAXIS S.A.","BANCO FINAXIS S.A."
"BANCO GENIAL S.A.","BANCO GENIAL S.A."
"BANCO GM S.A.","BANCO GM S.A."
"BANCO GUANABARA S.A.","BANCO GUANABARA S.A."
"BANCO HONDA S.A.","BANCO HONDA S.A."
"BANCO HSBC S.A.","BANCO HSBC S.A."
"BANCO HYUNDAI CAPITAL BRASIL S.A.","AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"BANCO HYUNDAI CAPITAL BRASIL S.A.","BANCO BANDEPE S.A."
"BANCO HYUNDAI CAPITAL BRASIL S.A.","BANCO HYUNDAI CAPITAL BRASIL S.A."
"BANCO HYUNDAI CAPITAL BRASIL S.A.","BANCO RCI BRASIL S.A."
"BANCO HYUNDAI CAPITAL BRASIL S.A.","BANCO SANTANDER (BRASIL) S.A."
"BANCO IBM S.A.","BANCO IBM S.A."
"BANCO INBURSA S.A.","BANCO INBURSA S.A."
"BANCO INDUSCRED DE INVESTIMENTO S.A.","BANCO INDUSCRED DE INVESTIMENTO S.A."
"BANCO INDUSTRIAL DO BRASIL S.A.","BANCO INDUSTRIAL DO BRASIL S.A."
"BANCO INTER S.A.","BANCO INTER S.A."
"BANCO INVESTCRED UNIBANCO S.A.","BANCO INVESTCRED UNIBANCO S.A."
"BANCO INVESTCRED UNIBANCO S.A.","BANCO ITAÚ BBA S.A."
"BANCO INVESTCRED UNIBANCO S.A.","BANCO ITAÚ CONSIGNADO S.A."
"BANCO INVESTCRED UNIBANCO S.A.","BANCO ITAÚ VEÍCULOS S.A."
"BANCO INVESTCRED UNIBANCO S.A.","BANCO ITAUBANK S.A."
"BANCO INVESTCRED UNIBANCO S.A.","BANCO ITAUCARD S.A."
"BANCO INVESTCRED UNIBANCO S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO INVESTCRED UNIBANCO S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
"BANCO INVESTCRED UNIBANCO S.A.","ITAÚ UNIBANCO HOLDING S.A."
"BANCO INVESTCRED UNIBANCO S.A.","ITAÚ UNIBANCO S.A."
"BANCO INVESTCRED UNIBANCO S.A.","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAÚ BBA S.A.","BANCO INVESTCRED UNIBANCO S.A."
"BANCO ITAÚ BBA S.A.","BANCO ITAÚ BBA S.A."
"BANCO ITAÚ BBA S.A.","BANCO ITAÚ CONSIGNADO S.A."
"BANCO ITAÚ BBA S.A.","BANCO ITAÚ VEÍCULOS S.A."
"BANCO ITAÚ BBA S.A.","BANCO ITAUBANK S.A."
"BANCO ITAÚ BBA S.A.","BANCO ITAUCARD S.A."
"BANCO ITAÚ BBA S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAÚ BBA S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
"BANCO ITAÚ BBA S.A.","ITAÚ UNIBANCO HOLDING S.A."
"BANCO ITAÚ BBA S.A.","ITAÚ UNIBANCO S.A."
"BANCO ITAÚ BBA S.A.","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAÚ CONSIGNADO S.A.","BANCO INVESTCRED UNIBANCO S.A."
"BANCO ITAÚ CONSIGNADO S.A.","BANCO ITAÚ BBA S.A."
"BANCO ITAÚ CONSIGNADO S.A.","BANCO ITAÚ CONSIGNADO S.A."
"BANCO ITAÚ CONSIGNADO S.A.","BANCO ITAÚ VEÍCULOS S.A."
"BANCO ITAÚ CONSIGNADO S.A.","BANCO ITAUBANK S.A."
"BANCO ITAÚ CONSIGNADO S.A.","BANCO ITAUCARD S.A."
"BANCO ITAÚ CONSIGNADO S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAÚ CONSIGNADO S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
"BANCO ITAÚ CONSIGNADO S.A.","ITAÚ UNIBANCO HOLDING S.A."
"BANCO ITAÚ CONSIGNADO S.A.","ITAÚ UNIBANCO S.A."
"BANCO ITAÚ CONSIGNADO S.A.","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAÚ VEÍCULOS S.A.","BANCO INVESTCRED UNIBANCO S.A."
"BANCO ITAÚ VEÍCULOS S.A.","BANCO ITAÚ BBA S.A."
"BANCO ITAÚ VEÍCULOS S.A.","BANCO ITAÚ CONSIGNADO S.A."
"BANCO ITAÚ VEÍCULOS S.A.","BANCO ITAÚ VEÍCULOS S.A."
"BANCO ITAÚ VEÍCULOS S.A.","BANCO ITAUBANK S.A."
"BANCO ITAÚ VEÍCULOS S.A.","BANCO ITAUCARD S.A."
"BANCO ITAÚ VEÍCULOS S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAÚ VEÍCULOS S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
"BANCO ITAÚ VEÍCULOS S.A.","ITAÚ UNIBANCO HOLDING S.A."
"BANCO ITAÚ VEÍCULOS S.A.","ITAÚ UNIBANCO S.A."
"BANCO ITAÚ VEÍCULOS S.A.","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAUBANK S.A.","BANCO INVESTCRED UNIBANCO S.A."
"BANCO ITAUBANK S.A.","BANCO ITAÚ BBA S.A."
"BANCO ITAUBANK S.A.","BANCO ITAÚ CONSIGNADO S.A."
"BANCO ITAUBANK S.A.","BANCO ITAÚ VEÍCULOS S.A."
"BANCO ITAUBANK S.A.","BANCO ITAUBANK S.A."
"BANCO ITAUBANK S.A.","BANCO ITAUCARD S.A."
"BANCO ITAUBANK S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAUBANK S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
"BANCO ITAUBANK S.A.","ITAÚ UNIBANCO HOLDING S.A."
"BANCO ITAUBANK S.A.","ITAÚ UNIBANCO S.A."
"BANCO ITAUBANK S.A.","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAUCARD S.A.","BANCO INVESTCRED UNIBANCO S.A."
"BANCO ITAUCARD S.A.","BANCO ITAÚ BBA S.A."
"BANCO ITAUCARD S.A.","BANCO ITAÚ CONSIGNADO S.A."
"BANCO ITAUCARD S.A.","BANCO ITAÚ VEÍCULOS S.A."
"BANCO ITAUCARD S.A.","BANCO ITAUBANK S.A."
"BANCO ITAUCARD S.A.","BANCO ITAUCARD S.A."
"BANCO ITAUCARD S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO ITAUCARD S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
"BANCO ITAUCARD S.A.","ITAÚ UNIBANCO HOLDING S.A."
"BANCO ITAUCARD S.A.","ITAÚ UNIBANCO S.A."
"BANCO ITAUCARD S.A.","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO J. SAFRA S.A.","BANCO ALFA DE INVESTIMENTO S.A."
"BANCO J. SAFRA S.A.","BANCO ALFA S.A."
"BANCO J. SAFRA S.A.","BANCO J. SAFRA S.A."
"BANCO J. SAFRA S.A.","BANCO SAFRA S.A."
"BANCO J. SAFRA S.A.","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"BANCO J. SAFRA S.A.","SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"BANCO J.P. MORGAN S.A.","BANCO J.P. MORGAN S.A."
"BANCO J.P. MORGAN S.A.","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
"BANCO JOHN DEERE S.A.","BANCO JOHN DEERE S.A."
"BANCO KDB DO BRASIL S.A.","BANCO KDB DO BRASIL S.A."
"BANCO KEB HANA DO BRASIL S.A.","BANCO KEB HANA DO BRASIL S.A."
"BANCO KOMATSU DO BRASIL S.A.","BANCO KOMATSU DO BRASIL S.A."
"BANCO LETSBANK S.A.","BANCO LETSBANK S.A."
"BANCO LETSBANK S.A.","BANCO MASTER DE INVESTIMENTO S.A."
"BANCO LETSBANK S.A.","BANCO MASTER S/A"
"BANCO LETSBANK S.A.","BANCO VOITER S.A."
"BANCO LOSANGO S.A. - BANCO MÚLTIPLO","BANCO BRADESCARD S.A."
"BANCO LOSANGO S.A. - BANCO MÚLTIPLO","BANCO BRADESCO BBI S.A."
"BANCO LOSANGO S.A. - BANCO MÚLTIPLO","BANCO BRADESCO BERJ S.A."
"BANCO LOSANGO S.A. - BANCO MÚLTIPLO","BANCO BRADESCO FINANCIAMENTOS S.A."
"BANCO LOSANGO S.A. - BANCO MÚLTIPLO","BANCO BRADESCO S.A."
"BANCO LOSANGO S.A. - BANCO MÚLTIPLO","BANCO DIGIO S.A."
"BANCO LOSANGO S.A. - BANCO MÚLTIPLO","BANCO LOSANGO S.A. - BANCO MÚLTIPLO"
"BANCO LOSANGO S.A. - BANCO MÚLTIPLO","KIRTON BANK S.A. - BANCO MÚLTIPLO"
"BANCO LUSO BRASILEIRO S.A.","BANCO LUSO BRASILEIRO S.A."
"BANCO MASTER DE INVESTIMENTO S.A.","BANCO LETSBANK S.A."
"BANCO MASTER DE INVESTIMENTO S.A.","BANCO MASTER DE INVESTIMENTO S.A."
"BANCO MASTER DE INVESTIMENTO S.A.","BANCO MASTER S/A"
"BANCO MASTER DE INVESTIMENTO S.A.","BANCO VOITER S.A."
"BANCO MASTER S/A","BANCO LETSBANK S.A."
"BANCO MASTER S/A","BANCO MASTER DE INVESTIMENTO S.A."
"BANCO MASTER S/A","BANCO MASTER S/A"
"BANCO MASTER S/A","BANCO VOITER S.A."
"BANCO MERCANTIL DE INVESTIMENTOS S/A","BANCO MERCANTIL DE INVESTIMENTOS S/A"
"BANCO MERCANTIL DE INVESTIMENTOS S/A","CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO MERCANTIL DO BRASIL S.A.","BANCO MERCANTIL DE INVESTIMENTOS S/A"
"BANCO MERCANTIL DO BRASIL S.A.","CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO MERCEDES-BENZ DO BRASIL S.A.","BANCO MERCEDES-BENZ DO BRASIL S.A."
"BANCO MIZUHO DO BRASIL S.A.","BANCO MIZUHO DO BRASIL S.A."
"BANCO MODAL S.A.","BANCO MODAL S.A."
"BANCO MODAL S.A.","BANCO XP S.A."
"BANCO MONEO S.A.","BANCO MONEO S.A."
"BANCO MORGAN STANLEY S.A.","BANCO MORGAN STANLEY S.A."
"BANCO MUFG BRASIL S.A.","BANCO MUFG BRASIL S.A."
"BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL","BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL"
"BANCO ORIGINAL S.A.","BANCO ORIGINAL S.A."
"BANCO ORIGINAL S.A.","PICPAY BANK - BANCO MÚLTIPLO S.A"
"BANCO OURINVEST S.A.","BANCO OURINVEST S.A."
"BANCO PACCAR S.A.","BANCO PACCAR S.A."
"BANCO PAN S.A.","BANCO BTG PACTUAL S.A."
"BANCO PAN S.A.","BANCO PAN S.A."
"BANCO PAN S.A.","BANCO SISTEMA S.A."
"BANCO PAN S.A.","PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"BANCO PAULISTA S.A.","BANCO PAULISTA S.A."
"BANCO PINE S.A.","BANCO PINE S.A."
"BANCO PORTO REAL DE INVESTIMENTOS S.A","BANCO PORTO REAL DE INVESTIMENTOS S.A"
"BANCO RABOBANK INTERNATIONAL BRASIL S.A.","BANCO RABOBANK INTERNATIONAL BRASIL S.A."
"BANCO RANDON S.A.","BANCO RANDON S.A."
"BANCO RCI BRASIL S.A.","AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"BANCO RCI BRASIL S.A.","BANCO BANDEPE S.A."
"BANCO RCI BRASIL S.A.","BANCO HYUNDAI CAPITAL BRASIL S.A."
"BANCO RCI BRASIL S.A.","BANCO RCI BRASIL S.A."
"BANCO RCI BRASIL S.A.","BANCO SANTANDER (BRASIL) S.A."
"BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL","BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL"
"BANCO RENDIMENTO S.A.","BANCO RENDIMENTO S.A."
"BANCO RIBEIRAO PRETO S.A.","BANCO RIBEIRAO PRETO S.A."
"BANCO RNX S.A.","BANCO RNX S.A."
"BANCO RODOBENS S.A.","BANCO RODOBENS S.A."
"BANCO SAFRA S.A.","BANCO ALFA DE INVESTIMENTO S.A."
"BANCO SAFRA S.A.","BANCO ALFA S.A."
"BANCO SAFRA S.A.","BANCO J. SAFRA S.A."
"BANCO SAFRA S.A.","BANCO SAFRA S.A."
"BANCO SAFRA S.A.","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"BANCO SAFRA S.A.","SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"BANCO SANTANDER (BRASIL) S.A.","AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"BANCO SANTANDER (BRASIL) S.A.","BANCO BANDEPE S.A."
"BANCO SANTANDER (BRASIL) S.A.","BANCO HYUNDAI CAPITAL BRASIL S.A."
"BANCO SANTANDER (BRASIL) S.A.","BANCO RCI BRASIL S.A."
"BANCO SANTANDER (BRASIL) S.A.","BANCO SANTANDER (BRASIL) S.A."
"BANCO SEMEAR S.A.","BANCO SEMEAR S.A."
"BANCO SENFF S.A.","BANCO SENFF S.A."
"BANCO SISTEMA S.A.","BANCO BTG PACTUAL S.A."
"BANCO SISTEMA S.A.","BANCO PAN S.A."
"BANCO SISTEMA S.A.","BANCO SISTEMA S.A."
"BANCO SISTEMA S.A.","PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"BANCO SOCIETE GENERALE BRASIL S.A.","BANCO SOCIETE GENERALE BRASIL S.A."
"BANCO SOFISA S.A.","BANCO SOFISA S.A."
"BANCO SOFISA S.A.","SOFISA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BANCO SUMITOMO MITSUI BRASILEIRO S.A.","BANCO SUMITOMO MITSUI BRASILEIRO S.A."
"BANCO TOPÁZIO S.A.","BANCO TOPÁZIO S.A."
"BANCO TOYOTA DO BRASIL S.A.","BANCO TOYOTA DO BRASIL S.A."
"BANCO TRIANGULO S.A.","BANCO TRIANGULO S.A."
